date,hour,type,东四,天坛,官园,万寿西宫,奥体中心,农展馆,万柳,北部新区,植物园,丰台花园,云岗,古城,房山,大兴,亦庄,通州,顺义,昌平,门头沟,平谷,怀柔,密云,延庆,定陵,八达岭,密云水库,东高村,永乐店,榆垡,琉璃河,前门,永定门内,西直门北,南三环,东四环
20200101,21,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200101,21,PM10,93.0,66.0,83.0,84.0,91.0,82.0,101.0,91.0,,91.0,75.0,117.0,156.0,104.0,67.0,100.0,68.0,78.0,122.0,71.0,46.0,75.0,114.0,66.0,66.0,39.0,116.0,140.0,107.0,109.0,65.0,94.0,79.0,100.0,94.0
20200101,21,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200101,21,AQI,72.0,61.0,67.0,67.0,71.0,66.0,76.0,98.0,,71.0,63.0,84.0,103.0,77.0,59.0,75.0,59.0,71.0,86.0,78.0,53.0,64.0,106.0,58.0,66.0,46.0,93.0,98.0,81.0,80.0,63.0,73.0,70.0,75.0,72.0
20200101,22,PM2.5,48.0,45.0,46.0,52.0,48.0,44.0,49.0,57.0,,51.0,46.0,66.0,65.0,56.0,44.0,59.0,51.0,44.0,49.0,53.0,33.0,46.0,90.0,41.0,44.0,30.0,73.0,85.0,81.0,54.0,53.0,52.0,58.0,47.0,49.0
20200101,22,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200101,22,PM10,87.0,70.0,81.0,83.0,104.0,89.0,94.0,104.0,,108.0,79.0,170.0,164.0,116.0,71.0,109.0,69.0,70.0,98.0,73.0,44.0,79.0,113.0,60.0,62.0,43.0,126.0,102.0,106.0,93.0,67.0,104.0,85.0,105.0,106.0
20200101,22,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200101,22,AQI,69.0,63.0,66.0,71.0,77.0,70.0,72.0,78.0,,79.0,65.0,110.0,107.0,83.0,61.0,80.0,70.0,61.0,74.0,73.0,47.0,65.0,119.0,58.0,61.0,43.0,98.0,113.0,108.0,74.0,73.0,77.0,79.0,78.0,78.0
20200101,23,PM2.5,50.0,47.0,51.0,49.0,46.0,49.0,49.0,60.0,,58.0,47.0,56.0,59.0,61.0,54.0,72.0,56.0,44.0,49.0,52.0,32.0,46.0,90.0,42.0,47.0,28.0,80.0,97.0,88.0,50.0,48.0,47.0,57.0,52.0,56.0
20200101,23,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200101,23,PM10,95.0,72.0,90.0,82.0,99.0,110.0,88.0,100.0,,130.0,71.0,106.0,183.0,108.0,82.0,120.0,74.0,60.0,83.0,68.0,36.0,63.0,105.0,59.0,70.0,34.0,116.0,129.0,170.0,88.0,66.0,83.0,84.0,131.0,114.0
20200101,23,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200101,23,AQI,73.0,65.0,70.0,68.0,75.0,80.0,69.0,81.0,,90.0,65.0,78.0,117.0,83.0,74.0,96.0,76.0,61.0,68.0,71.0,46.0,64.0,119.0,59.0,65.0,40.0,106.0,128.0,116.0,69.0,66.0,67.0,78.0,91.0,82.0
